,price
1453,200
37771,30
12855,70
12184,125
42571,65
43010,65
16076,45
408,50
3144,90
32110,120
44911,130
13457,225
9664,69
11051,100
35074,80
37085,50
31371,120
29783,45
16318,80
38439,100
20799,115
15794,50
39616,75
4436,150
5624,180
38812,189
14151,38
12848,140
13581,299
33393,110
47704,35
16703,199
19982,150
2582,150
37541,100
48459,39
18671,57
4623,270
46921,259
42386,177
15019,34
1687,115
33940,40
34371,55
13866,125
47076,200
27504,50
38667,42
2030,49
43545,200
10489,135
32933,60
42049,200
2735,140
8038,38
9686,145
8199,35
34053,95
134,130
47520,120
20175,130
48546,63
41280,300
48777,60
33500,125
5877,200
15457,197
20162,160
18237,195
44467,199
31344,150
1098,65
24096,49
3266,151
40141,35
24943,140
19504,130
24848,35
39104,200
40979,80
20901,136
38858,50
6880,200
4787,120
1752,225
25784,85
24291,175
2532,145
6042,160
5765,270
46576,199
32287,125
40634,48
16771,45
44471,50
31729,225
30580,72
8626,50
45806,150
761,60
4840,255
3608,150
2431,200
35508,160
41455,227
5403,75
42077,100
36858,90
3851,250
36652,125
26806,75
30512,47
7884,163
19137,189
39639,70
22241,100
40450,35
12885,60
32679,149
23094,60
41994,125
43033,169
43827,81
33690,65
34885,175
17809,90
15289,35
9902,40
18024,125
41241,159
26707,250
47542,145
29926,135
4444,80
4474,75
16634,80
44356,93
21325,80
472,75
14674,100
38856,120
3646,300
17332,150
12835,110
39618,250
8650,27
12468,260
47164,45
44052,180
45268,300
7847,60
10171,80
22561,116
43519,149
27125,128
43624,100
22747,175
42470,120
16939,250
4864,264
6181,100
46047,59
38436,114
42004,51
28584,120
36352,50
4164,99
37420,140
30067,59
48851,35
23820,50
20192,135
2190,50
46255,120
37712,175
6058,60
20970,175
30189,160
782,250
40701,205
26696,55
12420,160
21215,280
14207,160
5884,145
15884,265
43144,165
39923,85
46903,38
4701,145
28026,79
3848,60
21347,57
35397,65
39352,49
15128,239
22298,317
27239,300
698,75
36838,66
16156,65
32897,45
26035,145
33018,200
39198,280
45938,189
46283,100
39635,65
46352,59
40759,119
41921,105
42644,35
13691,99
6325,85
20330,127
38882,175
36032,89
5869,165
3584,93
14924,275
45650,289
25291,45
22958,45
5489,150
35502,200
25072,65
28243,88
12531,288
40994,44
43949,80
1597,129
11783,40
19591,125
18074,249
9120,65
4973,175
9410,90
6641,315
21823,119
16530,45
32721,250
42240,55
31319,130
41329,245
34750,200
15493,130
36081,80
36075,85
25922,100
38480,137
1336,80
41807,86
19511,159
15598,99
38867,295
15134,91
43759,45
16837,38
2286,200
29414,50
15460,75
34722,60
20463,100
30237,62
42978,132
27011,45
43979,100
5871,80
44488,38
41528,65
4710,78
41997,50
33521,30
9516,78
15431,125
36695,100
11524,125
43865,150
30380,25
2335,79
22772,49
46810,89
20241,35
14097,35
46453,145
45852,160
29246,50
264,70
27050,85
9094,150
26102,45
14160,45
12922,67
3236,105
3599,60
25418,179
28756,100
40613,63
47765,220
27092,150
12052,200
19067,300
28834,190
26425,58
13283,85
35237,89
15807,100
40478,120
41256,160
274,115
3645,150
27896,99
33568,100
26322,99
47806,250
13769,81
16484,42
44089,245
19525,139
33745,40
47419,249
10150,40
15858,200
28854,128
35908,105
42624,49
19481,199
36711,110
13143,45
29682,50
39931,55
20583,149
27901,80
16804,185
21699,100
48882,40
16007,239
43856,225
7469,120
47598,199
44925,150
31767,145
7629,112
199,98
33935,149
14419,250
11961,77
31908,80
1182,130
32627,45
40563,120
44371,125
14127,36
719,185
25836,59
9492,90
6816,125
29400,175
32688,50
30,50
931,178
26914,115
23924,85
19887,105
24197,300
47141,125
23493,65
32640,225
27314,59
32516,230
46827,200
18383,100
39521,200
33043,55
16180,36
7505,160
29712,66
34724,159
31750,50
3560,199
41926,120
17739,45
46860,219
23956,85
19978,35
37360,165
6367,65
18315,95
42828,275
40521,80
28808,85
15475,75
23209,125
16052,88
9271,75
44846,130
27844,195
44513,97
22265,210
29603,90
24073,133
7353,140
30315,50
46763,200
40810,200
29704,65
28309,69
42122,80
24237,119
42454,115
19176,110
4060,140
2491,85
1523,198
38372,165
43729,235
48731,111
5523,65
38987,115
18235,59
44300,249
33175,300
16371,130
26173,150
13960,105
14480,200
42744,65
26074,135
23516,60
32323,175
36920,90
11747,220
9676,35
31070,39
37709,120
30825,69
2005,55
21426,135
39832,100
22031,100
1872,79
13970,45
30513,250
20615,200
20097,69
38144,170
28262,107
17211,80
7546,122
28706,135
4603,65
21133,135
13615,275
38512,85
8114,94
6577,220
12425,130
14708,120
7174,150
7248,52
27734,59
38593,35
39583,90
20968,41
22183,120
2097,235
28847,48
4901,119
18712,195
26386,196
21172,179
41404,203
21932,60
30752,85
24075,35
9002,80
30060,175
47974,149
13932,48
26332,250
39277,220
34368,120
33006,60
5109,77
37711,125
15819,100
38555,100
21883,90
555,41
27570,225
27306,94
29214,40
27847,80
37539,95
43963,55
37056,75
44972,100
16708,50
28713,110
13334,155
6969,49
6800,72
26616,75
5210,200
9762,65
43993,120
33601,180
9836,65
9446,66
28533,45
24424,51
23325,40
33483,145
1150,80
39216,65
35579,300
16157,45
5347,135
43929,149
31181,180
17238,110
38240,125
34201,150
16962,190
37875,90
11456,95
45378,100
11321,90
1618,52
46196,75
36655,187
8735,110
44700,179
48074,50
32382,41
31264,299
15887,260
22938,65
8153,230
16991,175
826,157
44395,129
17711,85
27051,299
23491,100
39479,215
22161,250
2904,310
27767,135
9852,155
18375,129
43309,50
30812,80
36419,250
36369,151
37834,35
19567,119
41202,67
38962,65
25709,118
4445,115
20526,40
33505,10
35912,250
32496,95
30546,25
298,125
15649,110
10888,60
35637,65
20228,175
26622,128
23895,225
10049,115
25219,150
17014,67
46148,52
47441,60
27933,150
8517,50
36555,25
30630,120
27244,100
27021,250
18906,61
17600,325
25012,70
12731,140
44115,140
13109,178
47162,110
44639,150
6608,75
296,195
15965,45
43361,150
30835,45
28692,80
36318,32
5634,125
39954,250
44329,46
17481,110
22833,165
43462,75
33117,199
47404,49
20575,65
23635,119
47132,149
12817,75
28681,75
40425,65
29950,42
48040,69
33456,80
32376,85
42,120
21998,285
38114,100
35791,109
43514,60
38617,35
7467,100
27603,75
28025,40
11927,215
48239,115
34903,85
6848,109
48867,25
8895,100
33016,150
7215,196
31353,100
7669,320
20934,120
38516,195
41476,214
34612,150
25813,165
23089,126
2179,38
41850,200
18865,90
28570,95
41234,90
17582,99
43680,110
45121,223
22185,50
29639,35
5316,249
16701,199
14306,50
317,55
35199,140
40159,110
1005,75
33779,125
23978,200
47399,30
17039,55
34625,100
3682,145
14116,133
25833,125
10904,150
18703,180
21451,80
46959,249
9617,175
27562,320
10454,110
21097,125
40770,20
28736,110
23441,95
14230,65
23509,60
28690,99
15922,115
36678,165
28606,90
454,150
6027,79
9174,222
22682,199
46183,249
16593,185
31073,148
14187,140
47289,25
8570,110
47013,95
28640,85
10559,60
22723,70
16160,90
7320,65
46632,200
1922,300
20571,120
39420,45
1041,70
35392,41
42574,249
13241,199
37319,82
41013,40
12934,120
38061,29
47482,50
14750,119
10508,119
6818,140
25959,49
5244,150
40084,200
36226,175
7679,295
10538,65
22346,72
10279,36
15553,60
45736,40
40491,70
39589,70
569,40
41505,225
27162,200
29570,78
19667,175
16820,92
33841,55
22163,150
36676,129
43036,169
44018,49
27250,100
34983,100
15687,87
34504,209
1032,130
877,135
35801,126
7817,180
19718,49
30510,148
16229,199
31192,250
14807,81
30269,175
43786,125
36002,90
14204,259
48743,60
46086,279
35305,119
6709,185
19023,140
46228,99
41038,185
43277,60
33055,113
39451,225
11645,180
23995,130
28760,50
21161,88
9067,110
16376,175
35877,75
39414,54
47115,300
35718,280
46732,250
9489,100
11479,99
19886,75
10361,75
39690,60
39631,37
29053,220
6087,250
38427,150
18023,249
24710,95
13999,117
14095,325
20537,55
36665,87
42798,74
37332,32
27710,26
4263,100
13200,55
18216,160
6251,98
37575,265
7206,130
47851,90
22535,99
811,189
17562,129
31389,60
39617,180
45997,185
7814,330
36494,150
26167,125
23055,100
14888,60
23298,80
2193,105
39610,145
37407,68
46891,320
34666,68
21680,45
35500,50
27662,75
47560,80
17422,185
42906,175
22437,250
8769,200
39237,125
30343,60
9830,110
9833,110
26760,150
11534,295
2048,56
36090,95
30972,95
2189,110
25701,250
24151,250
30460,285
12226,80
9553,95
33762,50
47771,65
27556,90
3106,122
17074,95
38720,312
48539,60
3319,80
35278,31
18612,120
37573,175
23330,299
38514,280
44909,265
15234,95
21705,184
46309,110
4219,80
32205,180
33350,53
377,95
20627,50
45922,75
44602,175
26168,150
16355,200
2314,75
41752,199
42406,135
19996,115
40062,65
45534,249
43065,70
2966,84
39621,45
24495,239
24448,60
4653,160
12319,150
38018,123
36945,250
21428,70
44192,50
23986,50
3297,99
15057,70
20628,190
3926,79
16843,279
27909,95
29275,200
33495,69
27157,60
19950,60
31164,52
10050,225
1904,150
9760,119
14960,100
10819,50
21728,175
22863,70
35513,50
41157,80
21736,41
23834,100
33381,250
45362,90
27681,43
47897,129
33584,190
35971,110
34953,104
20914,81
35495,70
39413,150
13798,333
30263,100
29338,42
35494,225
21368,30
37798,40
41557,119
35528,179
45441,80
27299,230
16555,120
21087,68
867,75
13738,105
28178,210
22395,120
4451,225
1125,85
45774,68
28087,100
22340,208
36766,80
2683,171
6443,180
18665,35
35592,250
21716,250
23066,45
35352,300
20902,50
41730,180
38763,271
352,140
32909,180
2122,159
2173,99
12159,130
44187,54
46989,35
9892,100
6342,67
10546,110
39520,28
32647,70
42908,165
8066,70
2175,40
3017,116
48247,250
21593,100
12376,78
1854,155
5359,151
36947,78
44477,100
36982,175
3064,75
41554,115
32714,164
19842,143
19677,270
43939,55
11522,47
17250,165
32935,100
20645,295
12888,60
32902,190
6482,99
23560,113
48492,40
31992,85
26541,85
2276,60
27267,123
27477,47
3869,59
17493,82
28293,75
20211,48
6938,100
10313,150
40834,100
11248,90
30535,53
38305,100
29811,39
20165,60
39272,145
779,300
10222,85
859,295
14697,175
14165,150
16190,145
1358,60
3950,18
5822,80
47978,56
42893,105
22102,100
20700,53
14239,66
34322,65
36845,195
566,80
19130,189
41011,65
38525,265
29653,200
18661,50
10087,37
33146,42
15857,85
1659,149
36007,45
2855,130
16183,180
38837,42
16941,80
12221,85
41825,199
35762,110
7118,65
1646,90
28374,53
48433,100
16642,79
37317,45
28016,80
7981,49
20216,58
46589,86
41351,69
41431,241
18630,141
11472,35
25111,120
20082,37
11860,100
31754,46
40065,65
31846,169
29854,150
17678,140
7411,50
47724,275
12432,55
34101,67
48575,39
13901,125
9379,200
47402,80
27063,90
26820,100
14412,85
16640,80
28345,131
16087,155
32979,100
6965,140
32145,107
27240,75
36063,50
43460,105
9999,99
34441,50
15495,250
21211,27
35953,100
13983,55
771,85
25276,300
17738,60
20879,171
27377,55
25834,50
37163,85
39848,80
28017,133
7498,105
31653,200
48567,333
14935,239
9060,135
16000,65
29554,85
32065,175
25925,50
37915,115
24106,45
37862,64
31472,200
18189,200
7006,105
6151,320
41769,100
40224,72
2538,48
9756,88
29096,140
36074,200
10094,200
24061,88
3347,150
19873,40
36177,99
46797,300
22588,60
28607,50
46816,202
27501,60
29944,180
2531,145
45340,200
27182,184
13321,150
28753,39
46071,88
27577,100
22055,65
1035,60
41662,239
42305,60
10592,129
29782,70
48664,100
32780,40
30181,125
31596,130
9434,70
42063,95
30265,115
12515,75
29563,42
2437,150
29042,110
25606,50
4931,96
12738,65
12760,125
26275,150
9602,119
29597,65
6666,105
45803,50
39025,43
48405,160
29038,70
2078,55
17406,80
36599,275
18209,130
14017,75
2563,95
30689,150
30708,69
38648,60
19690,146
34703,125
39044,95
5807,250
44910,140
29198,35
33417,65
21376,100
10240,75
17504,55
2799,120
17830,53
25259,78
34900,250
44737,161
28271,38
13982,200
11073,150
20130,265
3173,50
26731,78
10056,110
37071,39
46503,55
5052,34
30947,77
24822,92
32259,200
16756,140
41649,51
9916,195
9849,119
28300,75
23663,128
34384,53
35010,42
2859,150
48039,75
39765,300
11211,42
47195,65
20266,150
48642,200
42520,35
28179,49
8281,250
1486,140
12680,123
26063,269
7762,60
20973,65
1829,290
15633,120
7577,195
28478,55
2263,250
16383,278
94,100
15681,99
9524,45
28895,135
15839,60
2207,130
46069,255
40304,155
33651,102
44074,90
19772,50
34071,165
27829,210
6029,125
5011,80
12030,75
38429,90
24508,150
25404,120
37158,65
30970,50
34811,129
26868,120
33056,50
30505,125
48044,42
42556,60
22647,35
28924,225
48733,50
846,35
11181,25
20416,125
27061,139
20172,220
17919,45
8992,120
38281,44
16189,42
20924,80
5395,200
16375,115
42777,58
42185,110
8483,52
40380,225
32512,125
12366,95
8695,150
43547,169
25789,54
6349,100
25504,300
19491,180
43427,89
19181,38
5723,65
14068,50
12056,200
45592,180
218,140
3143,73
46008,75
21687,75
46564,195
35104,100
14841,148
4855,289
31367,50
11115,45
31405,200
29264,70
855,140
14551,160
21583,160
31542,205
16196,165
42196,37
7005,250
46821,262
34630,150
4269,200
3145,200
18179,200
30049,120
29717,120
20988,89
9908,230
25887,130
16278,43
28792,135
36539,200
20946,50
536,85
23419,200
45332,50
28894,71
18274,50
34522,47
6677,80
35929,150
47341,118
20331,250
48428,150
448,165
14271,200
17960,85
28479,250
18103,74
42400,50
21656,209
9090,47
12412,75
471,60
21500,30
44106,198
40883,123
2791,121
45318,43
1793,200
12390,120
33982,74
22559,165
39752,50
5340,115
79,150
1491,42
26404,135
90,65
19614,218
14932,133
13651,45
19197,120
30522,49
19845,158
38060,66
44613,70
11170,64
27413,50
34802,136
14509,100
1389,250
10452,48
14956,89
29001,65
12025,120
37835,125
42535,62
13028,100
26750,200
26813,300
31162,85
2769,115
13689,100
48139,99
15053,60
9381,190
21618,40
39285,190
6649,42
6839,65
39605,130
25531,170
44208,200
26974,70
1861,51
33001,97
11602,175
23987,60
22007,126
22750,99
30367,47
1603,65
10864,150
33408,70
42226,140
31714,80
10501,79
19828,60
5614,299
567,230
40023,80
8591,180
38505,100
44547,79
13214,250
37955,275
47707,80
17867,75
8079,120
6793,90
18432,100
6687,50
19112,198
13282,88
30964,115
3304,100
38377,115
21996,251
881,120
17381,65
39060,120
30506,95
26619,75
7078,150
22029,275
29072,150
47017,85
24789,200
16599,55
34248,100
5042,50
39239,231
6088,130
22646,50
13388,100
34360,60
18592,75
24129,65
36451,150
20078,34
9509,49
43368,65
4619,52
6856,175
818,209
19957,50
37091,117
32759,55
28993,75
30478,86
30886,150
12852,75
22649,325
17660,110
24623,100
12785,160
31435,210
18708,125
37462,100
35040,55
18618,80
41855,59
30692,95
7224,65
44489,70
44724,85
21607,45
44544,50
266,60
9378,168
6594,107
18082,67
34624,180
48329,75
47745,200
47170,200
18798,200
1183,180
34464,250
45330,120
32842,60
16969,125
2992,85
34331,85
48881,54
37427,109
28629,130
43019,169
24683,120
47600,50
27952,70
20045,88
15424,45
9342,109
1482,75
32560,249
23235,68
4088,117
1965,30
21007,50
2435,95
15349,198
19249,105
32693,199
20876,95
34373,250
38580,150
797,240
45210,64
39835,150
43883,24
39491,89
24364,325
22557,140
45913,200
37635,99
24185,105
14808,190
18616,55
5831,120
30439,175
18989,150
30123,50
31287,50
34700,83
24158,278
17226,104
3979,75
36615,200
20457,140
10744,39
42534,62
9322,149
9730,75
20257,80
26390,78
33565,285
20493,76
43461,90
44563,120
37614,59
7931,80
4890,85
14820,140
46668,120
2062,30
29983,55
17464,135
22810,47
35869,50
8407,215
30112,65
46995,65
41413,229
8275,35
3925,195
14516,50
28036,80
6947,170
32972,45
39917,99
10053,150
8186,75
6494,160
45339,84
25539,120
5928,132
22641,110
34815,220
25444,56
19773,70
11584,100
20515,33
35786,325
16472,44
38465,50
59,180
44707,165
48843,45
26556,45
26368,100
1990,100
26008,95
9406,66
3405,100
513,100
9779,40
23699,70
26712,160
5400,90
11084,100
30853,95
48407,200
32251,99
28310,85
21931,70
23966,90
4785,90
25995,60
28501,65
21026,54
41144,75
13365,189
14698,63
12346,99
13453,179
13415,35
44365,145
25623,75
18194,230
5066,159
4146,180
23275,149
1067,94
8857,59
31619,199
15659,135
40250,100
15286,85
38886,199
16615,180
20095,34
21653,150
39344,61
13896,245
26678,55
13193,145
46848,210
32885,110
34810,79
11196,119
8505,150
38422,70
8609,100
15499,199
18557,175
9587,63
42705,109
12710,250
38469,85
8285,200
45219,99
47142,80
1944,149
14702,175
46282,165
14520,90
20741,275
44786,95
26799,55
48862,130
554,145
24253,95
39450,40
17914,85
46481,78
7291,250
24577,115
21864,200
4185,70
18624,117
40738,40
8512,130
35615,125
12255,275
4178,159
11639,140
2362,105
21233,125
3279,100
42329,90
3718,45
43035,169
28652,120
21101,33
17320,110
15816,70
27215,90
36391,48
35368,50
11111,55
45328,85
8430,247
46287,225
42600,195
42929,208
35887,50
47824,30
27520,248
34583,93
33599,197
27276,55
41645,57
43767,55
24499,85
38442,207
31633,62
17524,80
10062,47
23770,287
5152,199
29007,250
9456,98
41876,73
41480,165
36522,45
15746,38
21219,170
15476,62
60,80
25927,55
28920,95
18551,153
32158,49
6813,105
23932,100
13848,70
38887,45
670,199
10739,75
33217,220
47773,62
40657,55
47343,195
36640,85
4720,99
3556,180
28279,199
7130,100
42022,40
17035,110
31024,180
38769,330
3111,201
39419,110
28972,38
30483,150
45616,64
33609,55
43769,88
14025,95
18670,164
18566,100
25988,47
7336,120
42602,50
24090,225
42530,62
35056,73
22271,155
16121,100
13257,100
4352,250
13196,120
42114,200
16621,94
24620,195
20869,48
3426,210
25231,150
23903,220
40663,120
16453,100
48799,235
65,52
48413,220
44822,100
24679,229
43068,49
45509,114
22913,70
9719,65
9084,110
38246,195
44757,250
35465,100
7333,134
27287,80
27723,73
1329,69
24724,180
40125,80
5764,160
46466,50
19413,150
17502,50
22634,71
10824,139
14605,70
13111,124
11160,45
17117,58
26996,160
11892,50
37246,260
19786,85
31514,101
40915,225
30889,29
5650,149
30128,50
14061,60
40289,209
7625,65
20298,120
41393,150
46643,70
6540,258
2634,250
2740,49
4272,200
9841,90
20903,210
26281,150
30399,30
17237,200
695,64
39922,75
32458,125
34479,199
34214,185
41894,150
10663,190
1513,55
30205,60
17752,129
41589,140
10196,145
42735,125
20610,119
15131,239
5132,200
44123,169
6425,65
19124,75
37752,165
2061,35
45376,250
33738,60
11063,50
23357,45
3776,265
27366,157
46507,160
18242,135
7247,50
19728,67
36137,105
31090,250
707,130
3037,44
3423,150
8264,150
8457,85
977,45
47971,49
12422,55
30509,300
21620,50
26043,48
43331,200
5341,149
36268,60
19646,149
34701,89
38468,32
25599,226
960,125
25696,40
8008,139
9563,120
21038,120
34126,115
33814,185
24684,100
8225,125
32936,50
6148,130
46522,39
37451,50
40192,250
17376,150
18877,69
26741,250
32906,65
21612,175
33577,55
37112,55
524,160
9163,100
39632,135
44691,55
1881,240
45826,180
23146,39
47333,279
6767,60
34824,120
43082,160
26818,160
7344,65
16235,256
16629,150
38102,65
11244,75
25899,55
9895,70
41249,220
15585,300
32989,179
13666,285
7864,31
22214,38
37206,99
22715,120
29141,95
39336,75
17743,55
30591,120
18090,53
11460,125
39268,120
30163,35
35114,250
11331,30
44768,69
33625,110
4455,245
31317,80
41129,60
40827,52
39131,79
4938,125
15068,105
15033,121
29271,200
33155,225
37901,174
13299,110
40660,130
22888,88
29415,55
48854,150
35704,115
9581,150
1036,250
19084,60
6584,60
11956,65
43262,80
11058,125
20221,55
28395,120
23385,51
2610,40
4668,245
32620,200
28412,50
34217,150
8092,150
12799,98
30733,75
42093,324
48741,80
39028,125
26755,250
30447,220
17886,152
14723,66
46697,289
48046,229
31255,95
17396,175
3555,120
24252,200
37171,50
32098,125
48034,50
6823,125
39970,165
26465,180
8935,295
28611,115
4553,200
31640,200
12400,85
9766,250
9717,80
10243,59
12371,80
43388,50
10927,130
14280,200
37763,100
42216,55
420,175
26877,68
10011,58
17292,110
30167,50
43709,60
15275,140
29027,125
33461,190
48026,99
23068,145
43049,159
24476,70
41970,42
31876,145
25891,114
2177,225
13685,125
14833,125
43470,58
27055,80
20985,77
40854,45
15042,239
20243,175
31250,49
29059,32
6373,142
20143,55
27417,80
27024,75
35379,35
23420,85
39839,295
43973,179
531,149
27365,130
16910,75
5799,150
22341,105
19040,105
24258,275
47977,60
18985,140
44378,176
39043,275
21828,36
29974,49
45073,100
6977,60
45312,30
38463,93
31318,80
13560,41
445,255
38274,125
39870,135
18838,279
628,195
14644,190
36421,56
16688,200
23376,35
32252,62
18605,150
5382,195
38069,79
11410,225
30650,70
31723,120
10527,200
2153,187
17419,129
24718,45
46597,60
27919,60
44969,100
38946,60
46323,150
46158,94
549,190
43198,99
7794,142
24791,107
47879,90
46987,67
14557,76
32125,200
11911,199
961,50
31423,89
37269,170
43968,66
43125,56
25191,55
46126,34
35772,71
13530,150
19543,129
42855,45
42401,95
16696,70
24201,54
28373,250
44530,170
27845,280
46504,153
2476,125
3476,65
24211,165
48729,75
2804,156
24039,200
41339,55
48568,38
19098,113
20112,200
36987,90
22583,99
14048,105
48701,45
34181,175
5386,200
42936,200
22485,49
20501,130
26484,49
31049,96
9662,110
12673,195
24221,200
38130,150
7863,140
46104,50
1622,171
15904,33
46783,223
17498,50
27660,110
2076,195
30147,54
20116,125
44066,68
8302,52
12783,100
43909,135
23122,41
5208,134
6593,150
16450,160
37284,66
8193,70
32138,120
27656,101
17308,155
37943,267
20949,150
4700,200
43583,165
21343,50
35499,255
4390,235
6759,139
20619,67
16035,78
34859,140
37680,180
29657,115
23227,55
38441,45
22794,199
8381,250
25746,180
19791,105
42015,45
48630,38
31899,60
31098,95
8180,249
10378,107
39590,220
32141,239
28445,57
16988,50
35358,45
3076,64
45315,255
31962,101
44083,194
3956,99
20898,75
39571,140
23327,40
34145,55
24884,55
15944,115
21184,120
47654,50
15785,180
19485,190
21632,149
30616,125
42136,42
18034,50
42210,35
26430,70
33353,30
27492,115
11722,120
31918,139
18212,76
24206,65
9810,78
12379,95
4694,135
37419,80
4407,43
31994,99
3470,73
38299,175
34246,75
43173,100
3946,150
6320,180
40276,100
10871,59
2232,120
29057,121
48154,150
35527,85
12242,180
47378,315
38067,55
20545,325
48787,41
26916,149
4697,189
6359,115
31818,239
1192,150
35857,37
36488,85
38403,50
21635,140
11556,75
27230,200
25962,85
34977,90
27944,155
25850,94
8584,120
18963,115
30876,65
42069,100
31,52
6497,65
31560,35
285,95
6448,60
40026,60
14511,55
18996,41
31749,165
27296,48
23380,100
33756,150
4353,63
10977,40
23677,40
42731,95
41954,80
27139,66
4704,90
7413,184
4513,160
25672,150
38185,250
20661,70
28634,280
11614,125
42848,100
24878,125
35411,285
27848,48
11419,50
4592,85
26794,135
26671,225
34133,35
27680,20
17374,70
23989,35
30686,99
10018,99
26583,115
23401,105
39346,125
1564,103
33139,200
41552,89
4370,225
2529,175
27715,100
15443,325
2252,100
46367,260
168,165
43642,200
38829,70
28081,130
35731,175
19146,75
40305,110
10532,195
23390,55
16660,70
14671,65
36094,282
30461,65
35367,150
11567,157
21194,80
30892,40
32786,85
27097,65
18264,122
2659,120
11610,42
19113,43
41667,110
22554,110
7081,110
45652,70
10372,99
5701,80
29386,60
37196,62
31034,155
28820,250
19131,50
19763,75
17488,70
41295,150
34995,78
3184,70
8823,145
105,220
2268,138
25185,63
19134,50
41009,40
22401,250
8685,68
443,175
5987,45
8374,75
41706,70
44043,314
40662,90
12904,40
45420,172
25043,61
43192,159
10650,99
6589,100
6516,37
9499,70
16612,299
42424,100
18812,93
24360,215
36162,75
45230,149
46200,160
18101,98
28184,90
38492,119
10090,55
44589,120
39147,99
18929,37
4666,250
38929,280
24410,130
26261,150
26834,130
47563,200
43466,24
37395,180
10172,200
22309,150
23752,315
18757,110
32339,60
34166,130
15106,200
35760,33
22986,210
14826,85
32922,115
42683,100
18487,250
25090,150
42382,35
10646,175
13961,175
48861,120
31185,120
12773,75
6840,40
39576,130
2802,175
7194,115
14132,36
13753,100
19881,110
43384,135
922,95
5462,70
43235,210
33138,36
38421,70
174,196
5789,59
40251,40
28366,325
42098,146
18450,98
12456,150
31928,300
44363,38
45367,250
14422,250
42930,79
22369,110
6483,120
16863,41
13476,175
7889,60
24667,90
5099,200
9925,99
31733,40
18048,75
7226,38
35691,125
33678,159
20621,139
17041,50
20041,170
33230,150
12182,155
16680,165
39854,40
19471,125
6126,100
8598,60
4882,135
40808,20
40643,72
8588,150
14320,200
26178,209
5915,75
45518,100
44419,189
11188,35
34929,58
2865,79
18902,60
28648,170
19199,39
17457,118
21290,175
28400,175
20058,160
5741,150
35077,275
35943,90
47609,59
24914,55
45862,131
10460,77
30883,125
40872,65
35683,274
33510,120
18084,299
22657,278
9180,150
7459,75
30158,289
2343,133
37121,145
34955,125
39553,190
39648,60
9934,70
21044,175
45921,200
27737,175
10406,275
6170,150
32116,191
48367,199
14972,45
48645,85
9336,65
43703,67
21208,170
22881,100
32995,149
31879,150
30675,105
25971,48
16551,250
33170,112
8394,55
754,125
39685,180
27614,245
23658,236
39815,55
12999,80
18913,60
43442,309
36236,115
40466,229
1593,95
25342,300
44523,59
10542,155
11583,89
31964,175
17727,32
43424,60
17657,65
19342,150
43401,217
3660,200
8784,200
42931,208
23130,40
44138,150
23862,85
24981,120
48471,225
10186,46
5006,180
26023,44
38037,90
3112,119
35322,38
11466,60
18720,65
9437,195
41534,300
5603,125
18421,100
13965,283
8578,45
5074,69
26405,50
26884,185
27668,125
45770,190
35970,65
820,70
39077,180
12994,239
9915,50
25450,69
18682,160
6291,44
14701,50
48887,170
36157,65
19725,80
43678,115
29146,50
42168,82
35897,139
13629,135
32374,68
47918,50
7933,99
32345,269
12038,90
46647,100
10483,250
10081,198
43355,64
21586,250
39270,45
29549,170
38062,300
20406,200
41361,150
25201,174
4271,67
15831,195
19453,40
14552,50
42665,55
48759,50
15211,89
15188,300
44161,69
1244,165
8850,270
28004,160
46251,55
42418,49
45708,85
23440,60
47916,45
358,123
14979,300
28497,143
5325,119
245,110
15184,75
6030,55
21862,55
26912,40
341,139
9161,52
31651,120
30431,68
26910,121
34078,80
13484,206
37562,60
1837,60
43250,35
11365,45
16733,55
9807,100
8488,84
7719,75
17999,150
41138,199
3439,80
18841,165
42780,261
1767,150
18293,110
907,87
43005,300
23894,165
12350,95
22456,100
40431,70
40198,89
23175,58
43379,95
34767,63
48707,70
19354,290
21118,200
35071,150
33878,44
27254,300
17722,200
15949,41
13945,40
25085,38
22865,100
11893,200
9427,71
31201,75
42403,159
8748,250
32525,149
13438,200
34445,120
31517,65
33636,125
39213,35
48273,260
34970,89
31544,65
24938,84
33084,274
42641,109
28015,125
45941,145
13360,55
39882,100
36219,60
27295,50
3699,95
7397,75
13993,99
32426,175
7421,80
248,99
29701,80
39459,190
2108,120
32600,180
31064,90
34899,285
43591,150
48297,200
21605,200
1937,235
33357,50
35600,268
18395,310
6099,175
39597,120
48456,180
16417,70
47322,59
29992,289
32500,200
27890,100
14650,140
25308,119
6450,138
46394,89
40856,48
30371,101
41652,275
29688,200
24352,50
46168,210
24270,150
29802,119
30705,100
2654,99
30020,100
37352,100
23206,95
32610,185
11505,169
43574,271
15826,65
13381,220
39760,60
24170,250
22471,60
2949,76
28100,129
16005,77
27572,36
28749,33
45829,200
30286,110
34991,49
14333,120
38094,200
10743,39
2297,35
2067,160
9102,150
3024,75
18020,69
9130,80
3330,145
6166,205
29904,100
18033,120
15012,110
41015,130
29670,220
34276,175
42352,170
44482,300
15502,150
17434,150
19634,95
33569,142
31365,99
13730,113
25297,47
38174,210
39637,180
21622,69
24183,70
19409,70
27042,250
8338,140
44324,200
30198,75
32865,134
6861,265
12997,200
22334,50
92,98
1009,100
23765,180
40674,70
42601,83
41340,250
14857,95
3150,85
31485,125
16672,110
9573,215
30646,75
18385,150
35223,44
35438,80
